year,site,richness,shannonindex,hillnumber,location,latitude,longitude 
1995,Anacapa Passage,23,5.87,4.5,anacapa_passage,33.992,-119.4726667
1995,Footprint,15,2.53,1.96,footprint,33.95671233,-119.4784932
1995,Piggy Bank,4,1.6,1.26,piggy_bank,33.9175,-119.4775
1998,Footprint,22,2.53,1.48,footprint,33.95671233,-119.4784932
1999,Anacapa Passage,16,2.15,1.43,anacapa_passage,33.992,-119.4726667
1999,Footprint,27,5.66,4.46,footprint,33.95671233,-119.4784932
2000,Footprint,33,6.4,4.48,footprint,33.95671233,-119.4784932
2000,Piggy Bank,7,2.98,2.58,piggy_bank,33.9175,-119.4775
2001,Anacapa Passage,29,7.59,4.14,anacapa_passage,33.992,-119.4726667
2001,Footprint,30,6.84,4.56,footprint,33.95671233,-119.4784932
2001,Piggy Bank,8,3.31,2.32,piggy_bank,33.9175,-119.4775
2002,Anacapa Passage,17,7.8,5.85,anacapa_passage,33.992,-119.4726667
2002,Footprint,13,3.28,2.07,footprint,33.95671233,-119.4784932
2003,Anacapa Passage,24,2.97,2.3,anacapa_passage,33.992,-119.4726667
2003,Footprint,26,4.23,3.3,footprint,33.95671233,-119.4784932
2004,Anacapa Passage,24,1.73,1.25,anacapa_passage,33.992,-119.4726667
2004,Footprint,27,6.13,4.37,footprint,33.95671233,-119.4784932
2004,Piggy Bank,10,2.55,2.07,piggy_bank,33.9175,-119.4775
2005,Anacapa Passage,20,1.52,1.16,anacapa_passage,33.992,-119.4726667
2005,Footprint,38,7.36,4.69,footprint,33.95671233,-119.4784932
2005,Piggy Bank,14,3.85,2.87,piggy_bank,33.9175,-119.4775
2006,Anacapa Passage,21,6.15,3.8,anacapa_passage,33.992,-119.4726667
2006,Footprint,23,5.39,3.53,footprint,33.95671233,-119.4784932
2007,Anacapa Passage,23,6.11,3.59,anacapa_passage,33.992,-119.4726667
2007,Footprint,27,5.36,4,footprint,33.95671233,-119.4784932
2008,Anacapa Passage,22,8.2,6.58,anacapa_passage,33.992,-119.4726667
2008,Footprint,32,3.45,2.39,footprint,33.95671233,-119.4784932
2009,Anacapa Passage,23,2.09,1.43,anacapa_passage,33.992,-119.4726667
2009,Footprint,37,6.02,4.19,footprint,33.95671233,-119.4784932
2010,Footprint,23,3.89,2.99,footprint,33.95671233,-119.4784932
2010,Piggy Bank,6,1.26,1.09,piggy_bank,33.9175,-119.4775
2011,Anacapa Passage,23,7.92,5.57,anacapa_passage,33.992,-119.4726667
2011,Footprint,55,10.28,5.55,footprint,33.95671233,-119.4784932
2011,Piggy Bank,18,3.21,2.1,piggy_bank,33.9175,-119.4775
