year,site,density,latitude,longitude 
2005,a-s-01,0.0204,33.26233333,-119.5801667
2005,a-s-02,0.2244,33.27325,-119.48615
2005,a-s-03,0.2004,33.24763333,-119.5703833
2005,a-s-04,0.7796,33.21665,-119.4854167
2005,a-s-05,0.5124,33.21688333,-119.4441167
2005,a-k-01,0.077,34.02236667,-120.3874667
2005,a-k-02,0.178,34.06438333,-120.3566
2005,a-k-03,0.0695,33.90146667,-120.1029667
2005,a-k-04,0.2015,33.89753333,-120.10075
2005,a-k-05,0.196,34.03261667,-120.107
2005,a-k-06,0.123,33.94966667,-119.8275833
2005,a-k-07,0.3005,34.05635,-119.75515
2005,a-k-08,0.214,34.0345,-119.7033333
2005,a-k-09,0.293,34.04798333,-119.5514
2005,a-k-10,0.0765,33.98983333,-119.5630667
2005,a-k-11,0.417,34.00775,-119.4343833
2005,a-k-12,0.256,34.01586667,-119.3717333
2005,a-k-13,0.158,34.01666667,-119.3616667
2005,a-k-14,0.0235,33.46611667,-119.0277833
2005,a-k-15,0.1505,33.48753333,-119.0275833
2005,a-k-16,0.1455,33.46441667,-119.0391667
2005,a-k-22,0.083,33.92303333,-120.1873667
2005,a-k-23,0.174,33.90855,-120.1555
2005,a-k-24,0.0935,33.90036667,-120.1356333
2005,a-k-25,0.0855,33.89233333,-120.1195
2005,a-k-26,0.191,34.04493333,-119.6014
2005,a-k-27,0.299,34.05223333,-119.5825333
2005,a-k-28,0.3745,34.05428333,-119.56685
2005,a-k-29,0.2975,34.04415,-119.54245
2005,a-k-30,0.4345,34.03836667,-119.5253
2005,a-k-31,0.365,34.01641667,-119.4320167
2005,a-k-32,0.4065,34.0045,-119.3857833
2005,a-k-33,0.3135,34.0126,-119.3891833
2005,a-k-34,0.2725,34.0141,-119.3590167
2005,a-k-35,0.175,33.48003333,-119.0621167
2005,a-k-36,0.071,33.47306667,-119.02685
2005,a-k-37,0.2905,33.46293333,-119.0312667
2005,a-p-56,0.414705882,33.900167,-120.136367
2005,a-p-59,0.240196078,33.90295,-120.099167
2005,a-p-01,0.389583333,34.002883,-119.4252
2005,a-p-03,0.440972222,34.001583,-119.398067
2005,a-p-04,0.686805556,34.017667,-119.363683
2005,a-p-05,0.631944444,34.012783,-119.363133
2005,a-p-06,0.776315789,34.009883,-119.388333
2005,a-p-07,0.896111111,34.016983,-119.432917
2005,a-p-14,0.256349206,34.4412874,-120.4167926
