year,site_id,richness,shannonindex,hillnumber
2005,a-s-01,3,1.8,1.44
2005,a-s-02,13,4.74,3.23
2005,a-s-03,13,4.18,2.49
2005,a-s-04,24,6.28,3.59
2005,a-s-05,17,6.33,3.93
2005,a-k-01,19,10.74,7.47
2005,a-k-02,20,5.94,3.43
2005,a-k-03,16,10.45,8.24
2005,a-k-04,21,8.94,4.94
2005,a-k-05,18,5.77,3.62
2005,a-k-06,18,4.48,2.37
2005,a-k-07,17,2.87,1.97
2005,a-k-08,13,3.85,2.79
2005,a-k-09,19,5.75,4.12
2005,a-k-10,14,5.78,4.21
2005,a-k-11,20,4.27,2.72
2005,a-k-12,15,2.57,1.54
2005,a-k-13,21,6.64,3.6
2005,a-k-14,7,3.31,2.17
2005,a-k-15,14,2.83,1.69
2005,a-k-16,8,2,1.41
2005,a-k-22,24,13.16,9.9
2005,a-k-23,22,9.5,5.59
2005,a-k-24,23,11.99,7.99
2005,a-k-25,21,11.65,7.78
2005,a-k-26,22,6.53,3.88
2005,a-k-27,23,5.6,3.45
2005,a-k-28,17,5.78,3.82
2005,a-k-29,21,5.55,3.33
2005,a-k-30,13,3.52,2.69
2005,a-k-31,17,4.75,2.94
2005,a-k-32,13,3.04,2.4
2005,a-k-33,14,3.99,2.85
2005,a-k-34,19,6.25,4.45
2005,a-k-35,14,3.8,2.38
2005,a-k-36,12,3.69,2.17
2005,a-k-37,17,4.54,2.82
2005,a-p-56,21,9.93,6.03
2005,a-p-59,20,8.62,4.88
2005,a-p-01,20,8.29,5.54
2005,a-p-03,19,4.58,2.84
2005,a-p-04,20,6.78,3.93
2005,a-p-05,17,5.66,4.05
2005,a-p-06,14,4.4,2.58
2005,a-p-07,15,4.62,2.82
2005,a-p-14,15,6.28,4.31
2005,a-p-19,13,6.4,4.32
2005,a-p-22,24,8.93,5.22
2005,a-p-33,20,4.79,2.82
2005,a-p-36,28,8.75,5.7
2005,a-p-38,24,13.39,10.49
2005,a-p-39,18,6.76,4.57
2005,a-p-42,15,8.42,6.13
2005,a-p-43,15,5.28,3.5
2005,a-p-34,18,11.31,9.18
2005,a-p-35,17,5.99,3.15
2005,a-p-37,17,3.73,2.03
2005,a-p-41,21,3.65,2.27
2005,a-p-44,20,8.8,5.87
2005,a-p-45,14,7.78,6.39
2005,a-p-47,14,4,2.72
2005,a-p-48,23,8.47,5.76
2005,a-p-50,24,10.83,8.49
2005,a-p-52,18,7.36,5.41
2005,a-p-60,15,5.54,2.99
2005,a-p-64,20,11.51,8.82
2005,a-p-32,17,6.22,3.96
2005,a-p-40,15,4.91,3.02
2005,a-p-57,11,6.89,5.67
2005,a-p-65,15,7.13,4.76
2005,a-l-01,8,7.24,6.55
2005,a-l-02,6,5.2,4.63
2005,a-l-03,12,7.09,5.24
2005,a-l-04,11,9.03,7.61
2005,a-l-05,17,10.82,8.68
2005,a-l-06,1,1,1
2005,a-l-07,7,5.99,5.25
2005,a-l-08,12,9.03,7.34
2005,a-l-09,20,10.76,7.84
2005,a-l-10,12,4.34,2.63
2005,a-l-11,12,6.14,3.99
2005,a-k-21,NA,NA,NA
2005,a-p-18,NA,NA,NA
2005,a-p-09,NA,NA,NA
2005,a-p-10,NA,NA,NA
2005,a-p-17,NA,NA,NA
2006,a-s-01,3,1.49,1.24
2006,a-s-02,13,6.68,4.56
2006,a-s-03,15,3.42,1.95
2006,a-s-04,20,5.28,3.48
2006,a-s-05,17,5.99,4.13
2006,a-k-01,17,2.59,1.51
2006,a-k-02,19,3.82,2.01
2006,a-k-03,21,11.3,7.94
2006,a-k-04,19,10.11,6.44
2006,a-k-05,16,9.91,7.37
2006,a-k-06,16,7.82,5.75
2006,a-k-07,26,5.62,3.75
2006,a-k-08,21,7.64,5.07
2006,a-k-09,21,6.88,5.04
2006,a-k-10,14,5.04,3.16
2006,a-k-11,18,3.7,2.49
2006,a-k-12,23,5.12,3.38
2006,a-k-13,26,5.85,3.04
2006,a-k-14,5,2.02,1.55
2006,a-k-15,12,4.67,3.02
2006,a-k-16,14,3.11,2.09
2006,a-k-22,18,9.9,7.1
2006,a-k-23,17,8.96,5.7
2006,a-k-24,21,11.58,8.38
2006,a-k-25,15,7.06,4.66
2006,a-k-26,24,5.86,3.3
2006,a-k-27,21,6.37,3.9
2006,a-k-28,18,4.67,2.75
2006,a-k-29,20,4.34,2.67
2006,a-k-30,17,4.88,3.77
2006,a-k-31,18,5.29,3.81
2006,a-k-32,15,3.27,2.34
2006,a-k-33,19,4.79,3.13
2006,a-k-34,19,5.71,3.81
2006,a-k-35,12,4.97,3.22
2006,a-k-36,10,2.79,2.28
2006,a-k-37,21,3.31,2.09
2006,a-p-56,18,4.82,2.51
2006,a-p-59,23,10.15,6.92
2006,a-p-01,21,7.75,5.18
2006,a-p-03,17,5.13,3.46
2006,a-p-04,19,6.6,3.85
2006,a-p-05,18,5.15,3.48
2006,a-p-06,17,5.87,3.77
2006,a-p-07,16,4.79,3.32
2006,a-p-14,15,5.05,3.84
2006,a-p-19,17,7.19,5
2006,a-p-22,22,9.53,6.89
2006,a-p-33,18,4.5,2.91
2006,a-p-36,23,8.89,6.32
2006,a-p-38,23,7.05,4.1
2006,a-p-39,20,8.96,6.95
2006,a-p-42,18,4.57,2.76
2006,a-p-43,18,5.59,3.36
2006,a-p-34,18,7.94,4.71
2006,a-p-35,20,5.28,3.5
2006,a-p-37,18,8.43,5.61
2006,a-p-41,15,5.64,3.86
2006,a-p-44,16,6.32,4.17
2006,a-p-45,16,5.87,3.93
2006,a-p-47,18,2.33,1.53
2006,a-p-48,25,10.57,8.02
2006,a-p-50,22,10.47,7.76
2006,a-p-52,19,7.47,5.28
2006,a-p-60,22,6.23,3.03
2006,a-p-64,21,10.84,7.64
2006,a-p-32,17,5.49,3.56
2006,a-p-40,14,3.35,1.96
2006,a-p-57,10,9.42,8.91
2006,a-p-65,16,5.28,2.82
2006,a-l-01,7,4.26,3.35
2006,a-l-02,6,4.08,3.28
2006,a-l-03,18,10.42,8.01
2006,a-l-04,9,5.31,3.81
2006,a-l-05,19,11.36,9.06
2006,a-l-06,9,6.86,5.81
2006,a-l-07,8,5.75,4.63
2006,a-l-08,17,10.84,8.35
2006,a-l-09,20,8.98,5.89
2006,a-l-10,16,6.96,4.75
2006,a-l-11,12,6.47,4.25
2006,a-k-21,20,11.3,8.22
2006,a-p-18,NA,NA,NA
2006,a-p-09,NA,NA,NA
2006,a-p-10,NA,NA,NA
2006,a-p-17,NA,NA,NA
2007,a-s-01,5,1.58,1.26
2007,a-s-02,14,6.29,4.27
2007,a-s-03,13,2.65,1.61
2007,a-s-04,21,5.6,3.29
2007,a-s-05,18,3.73,2.64
2007,a-k-01,19,7.08,4.26
2007,a-k-02,20,11.5,8.89
2007,a-k-03,20,9.11,6.44
2007,a-k-04,25,11.38,6.32
2007,a-k-05,20,1.96,1.3
2007,a-k-06,20,7.75,5.18
2007,a-k-07,20,6.6,4.98
2007,a-k-08,18,3.42,2.05
2007,a-k-09,18,4.14,2.17
2007,a-k-10,16,4.47,2.66
2007,a-k-11,19,5.39,3.57
2007,a-k-12,19,8.25,5.56
2007,a-k-13,21,4.76,2.9
2007,a-k-14,9,3.58,2.14
2007,a-k-15,12,3.94,2.62
2007,a-k-16,12,4.29,2.9
2007,a-k-22,15,9.93,7.35
2007,a-k-23,18,11.75,9.11
2007,a-k-24,19,12.16,9.08
2007,a-k-25,23,13.27,10.7
2007,a-k-26,19,5.6,3.6
2007,a-k-27,24,5.63,3.19
2007,a-k-28,22,3.95,2.5
2007,a-k-29,24,6.04,3.86
2007,a-k-30,14,3.66,2.43
2007,a-k-31,14,5.13,3.27
2007,a-k-32,17,2.78,1.89
2007,a-k-33,15,4.11,3.14
2007,a-k-34,16,5.15,3.86
2007,a-k-35,11,2.94,1.92
2007,a-k-36,9,1.71,1.24
2007,a-k-37,18,3.36,1.9
2007,a-p-56,27,12.57,8.11
2007,a-p-59,14,5.63,3.38
2007,a-p-01,18,6.88,4.6
2007,a-p-03,16,2.78,1.75
2007,a-p-04,18,4.6,2.6
2007,a-p-05,18,4.71,2.57
2007,a-p-06,15,5.55,3.95
2007,a-p-07,13,6.28,4.53
2007,a-p-14,7,3.98,3.08
2007,a-p-19,13,9.25,7.47
2007,a-p-22,21,9.23,6.58
2007,a-p-33,15,4.31,2.41
2007,a-p-36,20,9.13,6.26
2007,a-p-38,24,6.08,3.51
2007,a-p-39,17,7.18,4.65
2007,a-p-42,16,3.84,2.42
2007,a-p-43,17,6.32,4.53
2007,a-p-34,18,10.92,8.05
2007,a-p-35,17,5.4,3.12
2007,a-p-37,17,5.46,3.52
2007,a-p-41,15,4.8,2.72
2007,a-p-44,19,7.39,4.81
2007,a-p-45,19,8.7,5.63
2007,a-p-47,14,5.75,4.32
2007,a-p-48,18,7.1,4.65
2007,a-p-50,16,6.83,4.73
2007,a-p-52,21,3.75,2.22
2007,a-p-60,20,12.33,10.17
2007,a-p-64,17,3.98,2.2
2007,a-p-32,16,4.54,2.87
2007,a-p-40,14,7.38,6.05
2007,a-p-57,10,5.24,3.29
2007,a-p-65,15,7.46,5.03
2007,a-l-01,5,4.17,3.52
2007,a-l-02,14,8.74,5.7
2007,a-l-03,19,7.84,4.08
2007,a-l-04,8,7.23,6.72
2007,a-l-05,18,12.63,10.31
2007,a-l-06,9,7.74,6.74
2007,a-l-07,5,4.83,4.7
2007,a-l-08,12,8.66,6.99
2007,a-l-09,20,7.15,4.28
2007,a-l-10,16,7.32,5.26
2007,a-l-11,16,8.26,6.16
2007,a-k-21,NA,NA,NA
2007,a-p-18,NA,NA,NA
2007,a-p-09,NA,NA,NA
2007,a-p-10,NA,NA,NA
2007,a-p-17,NA,NA,NA
2008,a-s-01,4,2.82,2.5
2008,a-s-02,10,6.74,5.24
2008,a-s-03,13,4.22,2.3
2008,a-s-04,22,8.63,5.3
2008,a-s-05,15,1.36,1.11
2008,a-k-01,19,1.2,1.05
2008,a-k-02,16,8.23,5.27
2008,a-k-03,24,13.51,10.47
2008,a-k-04,23,11.2,7.51
2008,a-k-05,19,2.18,1.38
2008,a-k-06,20,8.27,5.35
2008,a-k-07,23,3.18,1.85
2008,a-k-08,20,4.86,2.73
2008,a-k-09,23,5.76,2.89
2008,a-k-10,16,6.33,3.65
